b'id',b'key',b'value',b'type'
153757839,b'wikipedia',"b'en:Paris (community), Wisconsin'",b'regular'
153762503,b'population',b'19719;2010',b'census'
153762503,b'ele',b'212',b'regular'
153762503,b'gnis:Class',b'Populated Place',b'regular'
153762503,b'gnis:County',b'Kenosha',b'regular'
153762503,b'gnis:County_num',b'059',b'regular'
153762503,b'gnis:ST_alpha',b'WI',b'regular'
153762503,b'gnis:ST_num',b'55',b'regular'
153762503,b'id',b'1571621',b'gnis'
153762503,b'import_uuid',b'bb7269ee-502a-5391-8056-e3ce0e66489c',b'regular'
153762503,b'is_in',"b'Kenosha County,Wisconsin,Wis.,WI,USA'",b'regular'
153762503,b'name',b'Pleasant Prairie',b'regular'
153762503,b'place',b'town',b'regular'
153762503,b'population',b'19719',b'regular'
153762503,b'website',b'https://www.pleasantprairiewi.gov/',b'regular'
153762503,b'wikidata',b'Q2291270',b'regular'
153762503,b'wikipedia',"b'en:Pleasant Prairie, Wisconsin'",b'regular'
158739805,b'highway',b'stop',b'regular'
158739805,b'stop',b'all',b'regular'
231273066,b'highway',b'turning_circle',b'regular'
231273573,b'highway',b'traffic_signals',b'regular'
231273835,b'highway',b'turning_circle',b'regular'
231273905,b'highway',b'turning_circle',b'regular'
231274049,b'highway',b'turning_circle',b'regular'
231274067,b'highway',b'turning_circle',b'regular'
231274080,b'highway',b'turning_circle',b'regular'
231274342,b'highway',b'turning_circle',b'regular'
231274342,b'source',b'Bing',b'regular'
231274525,b'highway',b'turning_circle',b'regular'
231274995,b'highway',b'motorway_junction',b'regular'
231274995,b'ref',b'347',b'regular'
231275475,b'highway',b'motorway_junction',b'regular'
231275475,b'ref',b'342',b'regular'
231275592,b'highway',b'motorway_junction',b'regular'
231275592,b'ref',b'337',b'regular'
231275771,b'highway',b'motorway_junction',b'regular'
231275771,b'ref',b'345',b'regular'
231275905,b'highway',b'motorway_junction',b'regular'
231275905,b'ref',b'339',b'regular'
231276453,b'highway',b'crossing',b'regular'
231277322,b'highway',b'motorway_junction',b'regular'
231277322,b'ref',b'340',b'regular'
231279604,b'highway',b'turning_circle',b'regular'
231280996,b'highway',b'traffic_signals',b'regular'
231281026,b'highway',b'traffic_signals',b'regular'
231281026,b'traffic_signals',b'signal',b'regular'
231281103,b'highway',b'traffic_signals',b'regular'
231281787,b'highway',b'stop',b'regular'
231281787,b'stop',b'all',b'regular'
231281792,b'highway',b'stop',b'regular'
231281792,b'stop',b'all',b'regular'
231281796,b'highway',b'stop',b'regular'
231281796,b'stop',b'all',b'regular'
231281800,b'highway',b'stop',b'regular'
231281800,b'stop',b'all',b'regular'
231281804,b'highway',b'traffic_signals',b'regular'
231282010,b'highway',b'turning_circle',b'regular'
231282010,b'source',b'Bing',b'regular'
231282173,b'highway',b'traffic_signals',b'regular'
231282215,b'highway',b'traffic_signals',b'regular'
231282215,b'traffic_signals',b'signal',b'regular'
231282241,b'highway',b'stop',b'regular'
231282241,b'stop',b'all',b'regular'
231282264,b'highway',b'traffic_signals',b'regular'
231282264,b'traffic_signals',b'signal',b'regular'
231282286,b'highway',b'stop',b'regular'
231282663,b'highway',b'turning_circle',b'regular'
231283187,b'highway',b'turning_circle',b'regular'
231284662,b'highway',b'turning_circle',b'regular'
231285136,b'highway',b'traffic_signals',b'regular'
231285176,b'highway',b'traffic_signals',b'regular'
231285200,b'highway',b'traffic_signals',b'regular'
231285203,b'highway',b'traffic_signals',b'regular'
231285223,b'highway',b'traffic_signals',b'regular'
231285234,b'highway',b'traffic_signals',b'regular'
231285299,b'highway',b'traffic_signals',b'regular'
231285593,b'highway',b'traffic_signals',b'regular'
231285593,b'traffic_signals',b'signal',b'regular'
231285593,b'direction',b'both',b'traffic_signals'
231285610,b'highway',b'traffic_signals',b'regular'
231285661,b'note',b'Eastern terminus of WI 165',b'regular'
231286078,b'source',b'Bing',b'regular'
231286363,b'highway',b'turning_circle',b'regular'
231286376,b'highway',b'turning_circle',b'regular'
231286387,b'highway',b'traffic_signals',b'regular'
231286841,b'highway',b'turning_circle',b'regular'
231286875,b'highway',b'turning_circle',b'regular'
231287262,b'highway',b'turning_circle',b'regular'
231287269,b'highway',b'turning_circle',b'regular'
231287269,b'source',b'Bing',b'regular'
231288125,b'highway',b'turning_circle',b'regular'
231288143,b'highway',b'turning_circle',b'regular'
231288211,b'highway',b'turning_circle',b'regular'
231288448,b'highway',b'traffic_signals',b'regular'
231288458,b'highway',b'traffic_signals',b'regular'
231288514,b'highway',b'traffic_signals',b'regular'
231288629,b'highway',b'traffic_signals',b'regular'
231288721,b'highway',b'stop',b'regular'
231288721,b'stop',b'all',b'regular'
231288734,b'railway',b'level_crossing',b'regular'
231288981,b'highway',b'stop',b'regular'
231289211,b'highway',b'turning_circle',b'regular'
231289232,b'highway',b'traffic_signals',b'regular'
231289232,b'traffic_signals',b'signal',b'regular'
231289549,b'highway',b'turning_circle',b'regular'
